01/03/2021 00:00	01/03/2021	00:00:00	0	1	0	0.096
01/03/2021 00:15	01/03/2021	00:15:00	0	1	0	0.196
01/03/2021 00:30	01/03/2021	00:30:00	0	1	0	0.128
01/03/2021 00:45	01/03/2021	00:45:00	0	1	0	0.156
01/03/2021 01:00	01/03/2021	01:00:00	0	1	0	0.096
01/03/2021 01:15	01/03/2021	01:15:00	0	1	0	0.044
01/03/2021 01:30	01/03/2021	01:30:00	0	1	0	0.068
01/03/2021 01:45	01/03/2021	01:45:00	0	1	0	0.092
01/03/2021 02:00	01/03/2021	02:00:00	0	1	0	0.12
01/03/2021 02:15	01/03/2021	02:15:00	0	1	0	0.12
01/03/2021 02:30	01/03/2021	02:30:00	0	1	0	0.14
01/03/2021 02:45	01/03/2021	02:45:00	0	1	0	0.124
01/03/2021 03:00	01/03/2021	03:00:00	0	1	0	0.052
01/03/2021 03:15	01/03/2021	03:15:00	0	1	0	0.044
01/03/2021 03:30	01/03/2021	03:30:00	0	1	0	0.068
01/03/2021 03:45	01/03/2021	03:45:00	0	1	0	0.088
01/03/2021 04:00	01/03/2021	04:00:00	0	1	0	0.044
01/03/2021 04:15	01/03/2021	04:15:00	0	1	0	0.044
01/03/2021 04:30	01/03/2021	04:30:00	0	1	0	0.08
01/03/2021 04:45	01/03/2021	04:45:00	0	1	0	0.16
01/03/2021 05:00	01/03/2021	05:00:00	0	1	0	0.112
01/03/2021 05:15	01/03/2021	05:15:00	0	1	0	0.108
01/03/2021 05:30	01/03/2021	05:30:00	0	1	0	0.1
01/03/2021 05:45	01/03/2021	05:45:00	0	1	0	0.076
01/03/2021 06:00	01/03/2021	06:00:00	0	1	0	0.04
01/03/2021 06:15	01/03/2021	06:15:00	0	1	0	0.04
01/03/2021 06:30	01/03/2021	06:30:00	0	1	0	0.076
01/03/2021 06:45	01/03/2021	06:45:00	0	1	0	0.076
01/03/2021 07:00	01/03/2021	07:00:00	0	1	0	0.04
01/03/2021 07:15	01/03/2021	07:15:00	0	1	1	0.044
01/03/2021 07:30	01/03/2021	07:30:00	0	1	1	0.14
01/03/2021 07:45	01/03/2021	07:45:00	0	1	1	0.144
01/03/2021 08:00	01/03/2021	08:00:00	0	1	1	0.112
01/03/2021 08:15	01/03/2021	08:15:00	0	1	1	0.1
01/03/2021 08:30	01/03/2021	08:30:00	0	1	1	0.216
01/03/2021 08:45	01/03/2021	08:45:00	0	1	1	0.34
01/03/2021 09:00	01/03/2021	09:00:00	0	1	1	0.24
01/03/2021 09:15	01/03/2021	09:15:00	0	1	1	0.248
